title,created_at,text,date
STOP SMOKING 스탑 스모킹,2023-01-16,금연하고 싶은 사람들에게 도움되는 책입니다,2023-03-19
STOP SMOKING 스탑 스모킹,2023-01-16,남편에게 선물용으로 구매했는데 아직 읽기 전이네요 ㅎㅎ 차인표님 추천으로 구매해봤어요. 남편이 이 책을 다 읽고 금연을 꼭 했으면 좋겠습니다 ㅎㅎ,2023-03-19
STOP SMOKING 스탑 스모킹,2022-11-29,"내용이 좋아요, 추천합니다.",2023-03-19
STOP SMOKING 스탑 스모킹,2022-11-26,금연하는데 도움되는 책입니다,2023-03-19
강해 설교의 기술,2023-03-19,진정한 강해 설교는 무엇인가? 그 해답과 과정을 충실하게 다른 유용한 책입니다.,2023-03-19
강해 설교의 기술,2023-01-20,강해 설교를 어떻게 할 것인지를 명확하게 알려주는 책입니다.,2023-03-19
거꾸로 읽는 세계사 ,2023-03-18,책이 금방금방 넘어가네요. 몰랐던 역사 알게 되서 너무 좋아요,2023-03-19
거꾸로 읽는 세계사 ,2023-03-10,드레퓌스 사건을 몰랐던 내가드레퓌스 사건을 접하게 되며이 사건이 시사하는 바가 무엇일 지생각하게 됐다그냥 흘러가는 대로 읽고 기억에 남지 않는 책이 아니라생각하게 만들어 지식이 내것이 되는 책이다,2023-03-19
거꾸로 읽는 세계사 ,2023-03-04,유익하고역사의식 함양에 도움 됩니다,2023-03-19
거꾸로 읽는 세계사 ,2023-03-02,전부터 읽고싶던책이라 구매했는데 배송도빠르고 내용도 알차요 역시 유시민작가님👍 그런데 책 뒷장이 구겨져서와서 속상ㅠㅠ신경써주세여.....,2023-03-19
거꾸로 읽는 세계사 ,2023-02-24,존경하는분의 소중한 내용을 담아갑니다.,2023-03-19
거인의 노트,2023-03-19,아이와 함께 읽고 도움이 되길 바랍니다.,2023-03-19
거인의 노트,2023-03-19,기록의 중요성을 일깨워줍니다.,2023-03-19
거인의 노트,2023-03-18,"메모와 노트, 기록의 힘에 대해 다시 생각하게 되었어요.",2023-03-19
거인의 노트,2023-03-18,기록의 위대함에 대해 새삼 깨달았습니다.,2023-03-19
거인의 노트,2023-03-18,책을보고  나도  거인이  되고 싶다,2023-03-19
게으른 뇌에 행동 스위치를 켜라,2023-02-16,"오랜만에 두고 몇 번이고 읽고 싶은 책이 생겼습니다.마음이 헤이해질 때마다, 찾을 것 같은 책입니다.주변 사람들에게도 추천해 주고 싶은 좋은 책이네요.",2023-03-19
게으른 뇌에 행동 스위치를 켜라,2023-01-13,두번 읽어야합니다!,2023-03-19
게으른 뇌에 행동 스위치를 켜라,2022-10-17,도파민을 활용하여 일을 시작하는 방법을 알려준다,2023-03-19
게으른 뇌에 행동 스위치를 켜라,2022-10-16,희망의 씨앗을 심는 마음으로 인생을 바꾸는 방법을 알려줍니다,2023-03-19
게으른 뇌에 행동 스위치를 켜라,2022-09-29,"재미도 없고, 하고 싶은 마음도 들지 않으면 행동 스위치가 켜지지 않는다. 목표에 욕망이 있어야 한다. 머리로 생각하는 것과 마음으로 느끼는 차이를 의식해야 한다. 목적과 실천하는 것을 구체적으로 생각해야 하는 것이다.  우물쭈물 하는 것이 아니라 명확한 목적을 가지면 바로 시작할 수 있다.",2023-03-19
공간 혁명,2022-08-08,잘읽히는도서입니다.,2023-03-19
공간 혁명,2022-05-13,중간중간 번역체가 안읽히는 구간이 있고 내용의 반복이 있지만 한번 쯤 읽기 좋습니다.,2023-03-19
공간 혁명,2022-04-22,작가의 건축에 관한 통찰력이 눈에 띕니다.,2023-03-19
공간 혁명,2021-12-17,공간이 사람에게 미치는 영향에 대해서 적절한 심리과학적 증거를 제시하지도 않고 설명은 형편없는 비유에 장대하기만하고 그저 다른 학자들의 견해를 인용하기 급급한데다가 도서정보에 상기된 내용은 거의 다루지 않을 뿐더러 쓸 데 없는 주제가 주를 이룹니다.,2023-03-19
공간 혁명,2021-12-10,생소한 공간에 대한 이야기,2023-03-19
구의 증명,2023-03-18,흡인력이 좋은 작품.한 문장 한 문장에 얼마나 많은 감정이 지나갔을지,2023-03-19
구의 증명,2023-03-18,재미있어요 추천합니다,2023-03-19
구의 증명,2023-03-18,재미있어요 추천합니다,2023-03-19
구의 증명,2023-03-18,진짜 최고. 눈물콧물 다 흘림,2023-03-19
구의 증명,2023-03-18,"잘읽혀요, 불쌍해요,슬퍼요",2023-03-19
그대 늙어가는 것이 아니라 익어가는 것이다,2023-03-16,정말 좋아요 감사합니다 또 주문할게요,2023-03-19
그대 늙어가는 것이 아니라 익어가는 것이다,2023-03-15,힐링되는 책  감사합니다,2023-03-19
그대 늙어가는 것이 아니라 익어가는 것이다,2023-03-10,빠르게읽히는 책 금방 읽었습니다,2023-03-19
그대 늙어가는 것이 아니라 익어가는 것이다,2023-03-09,읽어보면 공감이 가는 책입니다. 적극 추천해요,2023-03-19
그대 늙어가는 것이 아니라 익어가는 것이다,2023-03-08,잘 영글어가는 것이 숙제,2023-03-19
기독교가 직면한 12가지 질문,2023-01-26,좋은데 번역이 조금 아쉽네요,2023-03-19
기독교가 직면한 12가지 질문,2023-01-05,평소에 궁금했던 내용들을 알 수 있어서 도움됬어요,2023-03-19
기독교가 직면한 12가지 질문,2022-11-30,번역이 너무 아쉬워요.. ㅠ 정말 ㅠ,2023-03-19
기독교가 직면한 12가지 질문,2022-08-11,"아랫분 리뷰 공감합니다. 번역 수준이 낮고, 글의 흐름에 맞지않는 문장이나 단어가 자주 나와서, 의미를 추측하며 읽어야하는 불편함이 있습니다.",2023-03-19
기독교가 직면한 12가지 질문,2022-07-12,개신교를 믿으면서 누구에게도 질문하지 못했던 많은 부분들에 대해서 편하게 답을 얻을 수 있는 책입니다!,2023-03-19
기분이 태도가 되지 않게,2022-02-04,"아이는  엄마의  감정을 받아주는  감정 쓰레기통이 아니다. 아이의 마음을 읽어주고  엄마가 행복해야  아이도 행복해 진다는 사실을 기억하자. 아이와  부모는  수직 관계가 아닌 수평관계 임을 잊지말자. 아이를 한 인격체로 인정하고 존중하자. 이책에서는  아이만을 위한 무언가가 아닌 엄마가 행복해지고  엄마의  마음이 채워져야 한다고 얘기한다. 엄마부터 행복해질 용기, 아이를 일관성있게 대하고 ,아이에게  올인 할것이 아니라 아이와 엄마의 관계를 분리할것을  얘기한다. 육아에 지친 분이라면 읽어보시길 추천 어린 아이를 키우시는 분도 꼭 읽어보시길 ~~~",2023-03-19
기분이 태도가 되지 않게,2022-02-03,"책 속에 저자의 육아 이야기, <금쪽같은 내 새끼>의 오은영 박사 이야기, 감동적인 일화(예: 위대한 발명가 토마스 에디슨의 어머니) 등 다양한 내용이 있습니다. 그 부분에 내가 과연 어느 정도인지 다시 한번 생각하게 되고 내가 아이에게 어떻게 해야 되는지 방법을 알려주는 책이었음을 알게 되었습니다.",2023-03-19
김미경의 마흔 수업,2023-03-19,당신은 잘못 살지 않았다는걸 이책을보면 알 수  있다,2023-03-19
김미경의 마흔 수업,2023-03-19,김미경 작가님 최고옝르,2023-03-19
김미경의 마흔 수업,2023-03-19,잘받았습니다.감사합니다.,2023-03-19
김미경의 마흔 수업,2023-03-19,마흔을 앞둔 사람이라면 반드시 읽어야 할 필독서라고 생각됩니다. 나이가 들수록 내 옆에 남는 것은 나 자신입니다. 스스로를 사랑하고 다독이고 끊임없이 업그레이드 시켜나가야 합니다. 다른 어떤 가치보다 중요한 것은 바로 “나”라는 존재임을 다시 한번 상기할 수 있었습니다.,2023-03-19
김미경의 마흔 수업,2023-03-19,누구나 되는 마흔. 마흔 수업은 마흔의 걱정을 덜어준다,2023-03-19
나는 나를 바꾸기로 했다,2023-03-18,재미있게잘읽었습니다,2023-03-19
나는 나를 바꾸기로 했다,2023-02-03,자기 관리에 대하여 충분히 생각하게 되요.,2023-03-19
나는 나를 바꾸기로 했다,2023-02-01,꿈과 성장이라는 단어는 누구나 좋아하는 단어일겁니다. 하지만 진지하게 생각해볼 시간은 얼마나 될까요. 이 책을 읽어보면서 생각해보게 되었습니다. 자신을 바꾸고 성장하기 위해 무엇이 필요한지 생각하게 해준 책이었습니다. 어떤 문제에 가로막혀 답답하고 성장이 쉽지 않게 느껴질 때 읽어본다면 도움이 될만한 내용이 많은 것 같습니다.,2023-03-19
나는 나를 바꾸기로 했다,2023-01-20,너무 좋은 내용입니다. 잘 읽을게요,2023-03-19
나는 나를 바꾸기로 했다,2022-12-24,나를 돌아보며 나를 기대하며...,2023-03-19
나는 논어를 만나 행복해졌다,2023-03-18,내용이 무척 마음에 듭니다,2023-03-19
나는 논어를 만나 행복해졌다,2023-03-17,논어의 텍스트를 잘 정리해서 만나고 있어요,2023-03-19
나는 논어를 만나 행복해졌다,2023-03-14,살아가면서 꼭 필요한 마음가짐들을 새길 수 있어서 좋았어요.,2023-03-19
나는 논어를 만나 행복해졌다,2023-03-12,분야를 넘어서 살아가는데 도움되는 글이라 추천합니다.,2023-03-19
나는 논어를 만나 행복해졌다,2023-03-09,"논어를 좋아하는데, 논어의 말 이후로 다시 읽고 싶어져서 구매했습니다.",2023-03-19
나도 아직 나를 모른다,2023-03-09,모든 사람들이 각각 공감하는 부분도 있어서 선물하기도 좋아요.,2023-03-19
나도 아직 나를 모른다,2023-03-01,나에대해 내가 이런 생각을 하게되는 근본적인 부중을 알려주는것같아 좋은거같아요,2023-03-19
나도 아직 나를 모른다,2023-01-28,마음을 돌보는 데 큰 도움을 받았습니다. 2023년 나를 일으켜 세우려고요. 고맙습니다.,2023-03-19
나도 아직 나를 모른다,2023-01-24,도서가 아주 현재의 저를 생각하게 해줍니다,2023-03-19
나도 아직 나를 모른다,2022-11-29,아직 읽어보진 않았지만 그래도 왜 다들 이 책을 추천하는지 알 것 같아요,2023-03-19
나미야 잡화점의 기적,2023-03-18,좋아요 재미있게 잘 읽었어요,2023-03-19
나미야 잡화점의 기적,2023-03-18,아이가 재미있다면서몇 번씩 읽네요.추천합니다.,2023-03-19
나미야 잡화점의 기적,2023-03-18,아직 읽기 전이지만 기대 됩니다.,2023-03-19
나미야 잡화점의 기적,2023-03-18,다시한번 읽어볼려고 찾았네요~,2023-03-19
나미야 잡화점의 기적,2023-03-18,감동적이고 따뜻한 내용이 마음을 울리네요,2023-03-19
나의 머니 로드,2023-01-29,주식투자를 2년넘게하면서 투자에대해 많이 알고 있다고 생각했습니다. 하지만 많은 손실을 보고있어요. 나의 머니로드는 현실적으로 내가 겪고있는 투자고민에 대한 답을 명확하게 제시하고 있었습니다. 이미 겪고있는 손실에대한 대처부터 앞으로 투자방향까지 새롭게 정립했습니다. 많은 분들께서 읽으시고 특히 해외주식으로 외화 많이 버셨으면 합니다.,2023-03-19
나의 머니 로드,2023-01-24,나이별로 주식하는 스탠스를 알 수 있습니다 좋은 책 내용에 감사합니다,2023-03-19
나의 머니 로드,2023-01-13,엄청 쉽게 술술 읽히네요~~ 감사합니다!,2023-03-19
나의 머니 로드,2023-01-10,올바른 투자방향을 잡아주는 길라잡이 책,2023-03-19
나의 머니 로드,2023-01-07,투자 공부에 기대됩니다.,2023-03-19
내 사랑은 끝나지 않는다,2021-02-23,뭔가 2% 부족한 느낌 이네요,2023-03-19
내 아이를 위한 감정코칭,2023-02-22,정말 재미있게 봤네요,2023-03-19
내 아이를 위한 감정코칭,2023-01-19,나의 성장에 도움이 되는 것 같아요,2023-03-19
내 아이를 위한 감정코칭,2023-01-09,아기 키우는 모든 부모가 꼭 읽어봤으면 좋겠어요. 굉장한 도움이 되었습니다.,2023-03-19
내 아이를 위한 감정코칭,2022-11-22,"모두가 처음인 육아의 본질은 무엇인지 좋은 관계에 필요한 키워드는 무엇인지 고민하던 차에 만난 책이다.감정코칭의 이유, 방법 등을 자세하게 알려준다",2023-03-19
내 아이를 위한 감정코칭,2022-10-29,좋았어요 읽으니 도움되요,2023-03-19
내가 틀릴 수도 있습니다,2023-03-18,읽는내내 마음이 고요한 숲속에 머무는 것처럼 평온했다가 책장을 덮으면서 굵은 눈물이 흐르는 것을 막을 수 없었다. 그래서 이 책을 3명의 지인들에게 선물했다,2023-03-19
내가 틀릴 수도 있습니다,2023-03-18,유익한 독서였습니다.,2023-03-19
내가 틀릴 수도 있습니다,2023-03-17,가슴 깊이 새겨봅니다.,2023-03-19
내가 틀릴 수도 있습니다,2023-03-16,도움이 많이 되고있어요!,2023-03-19
내가 틀릴 수도 있습니다,2023-03-15,급하지않게 여유있을때나 기분안좋을때 조금씩 읽었는데도 계속 손이가는 힘이되는 책이네요. 불안하고 답답한 기분에 큰 힘이 되었습니다. 끝부분에선..눈물이.. 가족을 잃어 많이 힘들던 저에겐 정말 큰 위로와 힘이 되었습니다.,2023-03-19
노잉,2023-03-18,평소 느끼던걸 저자는 노잉이라 칭하고 정리했네요 잘봤어요,2023-03-19
노잉,2023-03-16,"""목표는 세우는 것이 아니라 보이는 것이다""너무 인상적인 문장이에요.",2023-03-19
노잉,2023-03-12,"미래로부터 메시지를 토대로 자신의 성공을 알고 있는 상태이를 경험하여 성공하고 싶다면 이 책 꼭 읽어보셔야 합니다.개인적으로 인생 책이라 생각되는 이서윤, 홍주연 작가의 ""더 해빙(Having)"" 론다 번 작가의 ""시크릿(Secret)"" 과 함께 읽어보시는 것을 추천드립니다.일본의 인플루언서이자 베스트셀러 작가인 안도 마후유 작가는 '노잉(Knowing)' 에 대해 '미래에 일어날 일을 알고 있는 상태'라고 정의합니다.미래의 목표를 계획하는 것이 아닌 보이는 것이라 말합니다. 그리고 이를 알아채는 상태를 ""노잉""이라고 표현합니다. 저자는 네덜란드 유학 시절 보편적인 직장생활을 탈피하여 디지털노마드 삶에 대해 고민하고 이에 대한 How to 부분을 연구하였다고 합니다.대부분의 사람들은 자신이 누구인지 무엇이 성공인지조차 모르고 남들 혹은 세상이 정해놓은 기준과 목표에 맞추어 열심히 살아간다고 합니다. 돌아보니 저 또한 대부분의 사람들의 축에 속해있었음을 깨닫습니다.이 책의 목차는 다음과 같이 4장으로 구성되어 있습니다.1장. 누구나 자기 미래를 알고 있다2장. 미래가 이끄는 삶3장. 나만의 How 찾기4장. 노잉을 부르는 구체적인 실천방법초반 인상적인 내용은 소설가 무라카리 하루키는 원래 소설이 관심이 없었다가 우연한 순간에 소설에 대한 관심을 바탕으로 지금까지 여러 명작을 출판했다고 합니다.그리고 일본의 축구선수 혼다 케이스케의 경우 어릴적부터 구체적으로 세리에 A리그에서 등번호 10번을 달고 뛰고 싶다고 꿈꾸었습니다. 실제로 유명구단인 AC 밀란에서 10번을 달고 활약을 했었으니 가히 놀랄만 하였습니다. 마치 미래의 모습을 알고 있었던 것처럼 말입니다.삶은 수많은 선택을 통해 펼쳐지는데 그 때마다 자신의 기분과 감정에 집중하라고 말합니다.선택에 따른 좋은 감정에 집중해야함을 이 책을 읽음으로써 알 수 있습니다.""카페에서 음료를 결정할 때 자신의 좋은 감정에 집중하는 것""""스마트폰으로 뉴스 기사를 클릭할 때 자신의 감정은 어떠한지??""그에 따라 좋은 감정이 이끄는 선택을 하는 습관은 나중에 내 집 마련과 같은 중대한 결정을 할 때 필요한 판단력을 쌓을 수 있습니다.""긍정적인 마음 상태""저 또한 항상 마음 속에 품고 다니는 마인드입니다. 이를 위해 아침 일찍 일어나기부터 명상, 독서, 이불정리, 운동 등 작은 성취를 경험함으로써 자신감과 긍정 마인드가 생깁니다.그 결과 양질의 에너지를 바탕으로 상황을 바라보는 관점을 바꿀 수 있음을 저 또한 경험해보았기에 공감할 수 있었습니다.""앞으로 무슨 일이 일어날까?""미래로부터 흘러들어오는 정보와 메시지를 빠르게 알아차리는 말이라고 합니다. 과거에 얽매이지 않고 미래를 바라보며 살아야 한다는 메시지로 해석됩니다.노잉의 구체적인 방법 중 하나로 부정적인 감정을 내보냄으로써 원점 즉 제로상태를 만들어야 한다고 합니다. 부정적인 감정을 내보내는 가장 좋은 방법은 눈물을 흘리는 것이라고 말합니다. 눈물을 흘림으로써 부정적인 감정이 내보내지고 긍정적인 감정이 흘러들어올 수 있다고 합니다. 일종의 혈액 순환과 같은 이치라고 이해하니 무슨 의미인지 알 수 있었습니다. 그래서 ""더 해빙""이라는 책이 비슷한 맥락에서 생각났습니다.자신의 감정에 집중하고 부정적인 감정은 내보내며 긍정적인 상태를 만들어나감으로써 찰나의 순간들에 민감하게 반하여 미래에 대한 꿈을 발견할 수 있지 않을까 싶습니다.바로 노잉의 핵심 메시지라고 할 수 있습니다.""노잉(Knowing)"", 미래로부터의 메시지를 인식하는 상태꼭 한 번 읽어보셔야 한다고 생각하며 강력하게 추천드립니다.",2023-03-19
노잉,2023-03-12,"요즘 제가 관심을 갖고 있는 타로 카드를 연상시키는 듯한 표지입니다. 책 크기도 딱 타로 해설서 크기더군요. 이런 우연을 만나면 무언가 나에게 메시지를 가져오지 않을까 하는 기대를 갖게 합니다.그리고 뒷표지 책날개를 보니 책 제목인 노잉의 의미가 나오네요. ""미래에서 오는 직관의 메시지""진짜로 메시지에 관한 책이었습니다. 이제는 우연을 넘어 동시성이 떠오르더군요.카페에서 이 책을 읽다가 책 표지가 보이도록 찍은 사진이 있는데 사진을 언뜻 보면 고층 빌딩에서 찍은 것 같은 느낌이 듭니다. 마치 저자가 대학생 때 언뜻 본 ""도심 속 고층 아파트에서 노트북을 두드리며 열심히 일하고"" 있는 자신의 미래 삶의 모습을 연상하게라도 하듯요. 정말 그럴까요? 뜬금없는 질문의 답은 ""아니오.' 입니다. 제가 책을 읽은 카페는 2층에 있고 길 건너편 고층 건물이 거꾸로 비쳐보이는 것입니다. 제가 이런 질문과 답을 하는 것은 우리가 정말 우리의 현실을 제대로 보고 있는가, 우리의 가능성을 제대로 보고 있는가란 질문을 책을 보면서 하게 되었기 때문입니다.어쩌면 '안다'라는 생각이 제대로 보는 것을 가로막는 것이 아닐까 싶습니다. 저자가 말하는 '노잉'은 그런 '안다'는 생각 너머를 바라보는 시각과 태도에 관한 것이라 느꼈습니다.디지털 노마드라는 삶의 방식을 먼저 살았던 저자가 삶을 대하는 방식과 살아가는 모습과 용기는 제가 살아온 방식과 너무 달라서 정말 흥미로웠습니다. 그리고 그런 차이를 만든 것은 스스로에 대한 신뢰의 차이라는 생각이 들더군요. 저에게도 몇 번의 기회가 있었지만, 저는 '내가 무슨...'이라 생각하며 스스로 포기했었거든요.물론 자신에 대한 신뢰를 회복해가는 여정을 살아온 것이 또한 제 삶의 모습이기에 제가 아직은 보지 못한 것 같은 미래가 더 궁금해지기도 했습니다.저자는 미래가 주는 메시지를 잘 알아차리기 위한 방법도 설명하는데, 그 방법이 매우 실질적이고 공감되는 내용이었습니다. 현재를 잘 사는 것, 그러기 위해 나의 감정을 잘 돌보고 긴장을 풀고 나와 좋은 관계를 맺는 것입니다. 그리고 이를 위한 구체적인 방법도 언급하는데 그 중에는 명상도 있고 실컷 우는 것도 있습니다.자그마한 책에서 단단한 삶을 살아온 저자에게 부러움도 느끼게 되고 나의 현재를 더욱 소중하게 여겨야겠다는 마음도 새롭게 하게 되었습니다.[출판사에서 서적을 제공받아 주관적으로 작성한 서평입니다.]",2023-03-19
노잉,2023-03-12,"미래가 이끄는 삶이라고 하면 운명이 이미 결정되어 있고 내가 선택할 수 없는 미래처럼 들릴 수 있다. 야구 선수 이치로, 축구 선수 혼다 케이스케의 성공 이야기를 들으면 목표를 세우고 노력한 끝에 성공한 동기부여 사례이지만 저자는 미래의 성공한 모습을 '알고' 의심이나 망설임 없이 노력한 결과 실제가 되었다고 생각한다. 지금까지 알던것과는 전혀 다른 해석에 황당하고 무슨 괴변이냐라는 반응을 보일 수 있고 어쩌면 당연한 반응일 것이다. 노잉을 알지 못하거나 경험해 보기전까지는 믿기 어려울 수도 있다.만약 미래기원설을 믿는다고 해도 준비가 되어 있지 않으면 보여줘도 볼 수 없고 기회가 다가와도 잡을 수 없다. 따라서 감정 훈련을 통한 긍정적인 생각을 키워야하고 WHAT이 아닌 HOW에 집중해서 노잉이 다가왔을 때 볼 수 있는 준비를 해야한다. 노잉, 미래기원설등 당장 믿음이 가지 않더라도 자신감이 떨어져 있거나 우울증, 자기비하와 이생망(이번 생은 망했어)등으로 밑바닥까지 떨어져 있다면 이 책을 추천한다. '4장 노잉을 부르는 구체적인 실천방법'을 통해 초급자부터 중급자별 훈련 방법을 소개하고 있고, 그를 따른다면 부정으로 가득찬 마이너스 감정을 벗어나 긍정적인 플러스 감정으로의 변화를 추구할 수 있고 우울한 감정에서 벗어난다면 주변은 물론 자신에게도 긍정적인 일들이 찾아 올 수 밖에 없다. 세상을 향한 부정적인 감정이나 자괴감에 스스로 우울의 늪에 빠지고 있다면 '3개월간의 감정 실천방법'을 통해 우울한 감정에서의 탈출을 시도해 보길 추천한다. 노잉은 우리 모두에게 일어나지만 언제 어떤 방식으로 찾아올지는 저마다 다르고 마음대로 조절할 수도 없다. 그러나 그 특별한 감각을 바로 알아차릴 수 있도록 미리 준비하는 건 가능하다. p12마음의 소리가 'GO 사인'을 보낸다는 건 당신에게 멋진 싱크로니티가 찾아올 조짐이다. 그날따라 유난히 왠지 모를 느낌이 온다면 용기를 내서 부딪혀보자. 새로운 미래가 당신을 기다리고 있을 테니 말이다. p36노잉은 내 마음대로 일으킬 수 없다. 그저 내가 하고 싶은 일, 할 수 있는 일들에 최선을 다하며 하루하루를 충실하게 보내자. 그것이야말로 언젠가 찾아올 그날을 위한 준비다. p75하고 싶은 일을 찾기 위해서는 좋다는 감정을 느끼는 센서가 녹슬지 않도록 자주 사용하며 갈고 닦아야 한다. 센서의 감도가 높으면 좋음을 느끼고 싶지 않아도 느껴질 수밖에 없게 될 것이다. p93꼭 달성하고 싶은 목표가 없더라도 나만의 HOW를 분명하게 정하고 좋은 감정 상태를 유지하려 노력하면 자연스럽게 인생의 목표 지점에 도달할 수있다. p109우리가 할 수 있는 일은 노잉을 일으키려 애쓰는 게 아니라 그저 노잉이 찾아올 수 있는 좋은 환경을 만들고 그 상태를 유지하려 노력하는 것 뿐이다. p114",2023-03-19
농담,2023-02-10,지금 제가 처한 상황에 알맞은 위로가 되는 책이었습니다. 바꿀 수 없는 것을 이미 벌어진 일을 받아들이고 내가 지금할 수 있는 일을 할 수 있도록 노력하려고 합니다.,2023-03-19
